,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8
2021-06-17 15:20:00,2.3209999999999997,0.502,0.204,0.306,1.005,0.494,3.478,0.664
2021-06-17 15:30:00,2.3209999999999997,0.501,0.204,0.306,1.006,0.495,3.4789999999999996,0.664
2021-06-17 15:40:00,2.322,0.502,0.205,0.307,1.006,0.494,3.48,0.6629999999999999
2021-06-17 16:00:00,2.3209999999999997,0.503,0.204,0.305,1.005,0.495,3.4789999999999996,0.662
2021-06-17 16:10:00,2.32,0.502,0.201,0.307,1.004,0.494,3.478,0.6609999999999999
2021-06-17 16:20:00,2.32,0.501,0.201,0.306,1.004,0.493,3.478,0.66
2021-06-17 16:30:00,2.32,0.501,0.2,0.306,1.003,0.494,3.478,0.66
2021-06-17 16:40:00,2.32,0.502,0.20199999999999999,0.307,1.005,0.494,3.478,0.662
2021-06-17 16:50:00,2.3209999999999997,0.502,0.203,0.309,1.005,0.495,3.4789999999999996,0.662
2021-06-17 17:00:00,2.3209999999999997,0.498,0.20199999999999999,0.31,1.005,0.496,3.4810000000000003,0.662
2021-06-17 17:10:00,2.324,0.49700000000000005,0.204,0.311,1.006,0.498,3.48,0.6629999999999999
2021-06-17 17:20:00,2.325,0.498,0.207,0.314,1.008,0.499,3.483,0.665
2021-06-17 17:30:00,2.326,0.498,0.207,0.315,1.01,0.5,3.484,0.6659999999999999
2021-06-17 17:40:00,2.3280000000000003,0.499,0.207,0.317,1.01,0.502,3.485,0.6659999999999999
2021-06-17 17:50:00,2.329,0.498,0.209,0.317,1.011,0.503,3.486,0.667
2021-06-17 18:00:00,2.329,0.499,0.207,0.318,1.011,0.503,3.485,0.667
2021-06-17 18:10:00,2.332,0.5,0.20800000000000002,0.32,1.012,0.504,3.486,0.667
2021-06-17 18:20:00,2.332,0.5,0.20800000000000002,0.322,1.014,0.505,3.489,0.6679999999999999
2021-06-17 18:30:00,2.333,0.501,0.209,0.322,1.015,0.506,3.49,0.669
2021-06-17 18:40:00,2.335,0.502,0.21,0.32299999999999995,1.015,0.504,3.489,0.6679999999999999
2021-06-17 18:50:00,2.335,0.502,0.21,0.32299999999999995,1.015,0.504,3.489,0.669
2021-06-17 19:00:00,2.338,0.504,0.21100000000000002,0.324,1.016,0.505,3.49,0.67
2021-06-17 19:10:00,2.338,0.506,0.212,0.324,1.0170000000000001,0.507,3.49,0.6709999999999999
2021-06-17 19:20:00,2.339,0.506,0.215,0.326,1.0170000000000001,0.509,3.4930000000000003,0.6709999999999999
2021-06-17 19:30:00,2.338,0.507,0.21600000000000003,0.327,1.02,0.51,3.4939999999999998,0.672
2021-06-17 19:40:00,2.339,0.507,0.215,0.32799999999999996,1.02,0.51,3.4960000000000004,0.672
